source,title,score,comments,category,url,fetched_at
Hacker News,Show HN: Simula One – Portable Linux VR Computer,463,396,HackerNews,https://shop.simulavr.com/,2026-05-07 13:31
Hacker News,Show HN: Gaming Couch – a local multiplayer party game platform for 8 players,437,121,HackerNews,https://gamingcouch.com,2026-05-07 13:31
Hacker News,"Fandom Acquires GameSpot, Giant Bomb, GameFAQs, TV Guide and Metacritic",184,214,HackerNews,https://about.fandom.com/news/fandom-acquires-leading-entertainment-gaming-brands-including-gamespot-tv-guide-and-metacritic,2026-05-07 13:31
Hacker News,Show HN: Simula One – Portable Linux VR Computer,463,396,HackerNews,https://shop.simulavr.com/,2026-05-08 06:19
Hacker News,Show HN: Gaming Couch – a local multiplayer party game platform for 8 players,437,121,HackerNews,https://gamingcouch.com,2026-05-08 06:19
Hacker News,"Fandom Acquires GameSpot, Giant Bomb, GameFAQs, TV Guide and Metacritic",184,214,HackerNews,https://about.fandom.com/news/fandom-acquires-leading-entertainment-gaming-brands-including-gamespot-tv-guide-and-metacritic,2026-05-08 06:19
